t,symbol,high,low,open,close,volume
1628481600000,TSLA,239.6767,235.0433,236.7233,237.92,44146047.0
1628568000000,TSLA,238.8633,233.96,237.9967,236.6633,40296915.0
1628654400000,TSLA,238.3933,234.7367,237.57,235.94,29401674.0
1628740800000,TSLA,240.9333,233.1333,235.4467,240.75,53045058.0
1628827200000,TSLA,243.3,238.1133,241.2367,239.0567,50178801.0
1629086400000,TSLA,236.5,225.4667,235.0233,228.7233,69286359.0
1629172800000,TSLA,224.86,216.28,224.22,221.9033,71120637.0
1629259200000,TSLA,231.9233,223.1167,223.2493,229.6633,61035525.0
1629345600000,TSLA,228.85,222.53,226.07,224.49,42940458.0
1629432000000,TSLA,230.71,224.5667,227.6167,226.7533,43925595.0
1629691200000,TSLA,237.3766,226.9168,228.4807,235.4333,60720777.0
1629777600000,TSLA,238.4067,234.2133,236.8933,236.1633,39220863.0
1629864000000,TSLA,238.99,234.6667,235.6767,237.0667,37936686.0
1629950400000,TSLA,238.4667,232.54,236.1033,233.72,39642876.0
1630036800000,TSLA,238.3333,234.0334,235.0,237.3067,41501289.0
1630296000000,TSLA,243.6667,237.5767,238.2383,243.6367,55752660.0
1630382400000,TSLA,246.7967,242.1467,244.3333,245.24,62533908.0
1630468800000,TSLA,247.33,243.7567,244.6933,244.6967,39613005.0
1630555200000,TSLA,246.99,243.5133,244.8333,244.13,38390217.0
1630641600000,TSLA,244.6667,241.4,244.0831,244.5233,45813135.0
1630987200000,TSLA,253.4,246.42,246.6667,250.9733,61112865.0
1631073600000,TSLA,254.8167,246.9244,253.86,251.29,56379108.0
1631160000000,TSLA,254.0333,250.5434,251.1367,251.62,42224193.0
1631246400000,TSLA,254.2033,244.84,253.2,245.4233,45547110.0
1631505600000,TSLA,248.26,236.2833,246.7381,247.6667,69914181.0
1631592000000,TSLA,251.49,245.4667,247.5233,248.1633,56548992.0
1631678400000,TSLA,252.2867,246.12,248.3333,251.9433,46763832.0
1631764800000,TSLA,252.97,249.2033,250.9433,252.33,41770179.0
1631851200000,TSLA,253.68,250.0,252.3833,253.1633,84552528.0
