symbol,date,high,low,open,close,volume
GOOG,2021-08-31,146.112,145.0,145.8845,145.462,26756420.0
GOOG,2021-09-01,146.8205,145.6145,145.65,145.842,15824680.0
GOOG,2021-09-02,146.325,144.1065,145.9495,144.219,21855800.0
GOOG,2021-09-03,145.377,143.505,144.146,144.775,19110480.0
GOOG,2021-09-07,145.824,144.541,144.7495,145.519,15331740.0
GOOG,2021-09-08,145.551,144.2,145.3935,144.8835,14871660.0
GOOG,2021-09-09,145.6695,144.434,144.8835,144.9135,14798560.0
GOOG,2021-09-10,146.019,141.7415,145.4435,141.921,32896620.0
GOOG,2021-09-13,144.191,142.2825,143.201,143.465,20535080.0
GOOG,2021-09-14,144.7275,142.9055,144.161,143.406,19472740.0
GOOG,2021-09-15,145.5815,142.256,143.759,145.206,20988780.0
GOOG,2021-09-16,145.2,143.4164,145.121,144.3735,20298840.0
GOOG,2021-09-17,144.2495,141.0615,143.7985,141.4635,60039820.0
GOOG,2021-09-20,139.3625,137.053,139.0002,139.017,34417720.0
GOOG,2021-09-21,140.8116,138.9055,140.117,139.6465,18129380.0
GOOG,2021-09-22,141.5835,139.4718,140.0505,140.9385,22067800.0
GOOG,2021-09-23,142.2525,141.0965,141.6095,141.8265,17276100.0
GOOG,2021-09-24,142.9035,140.8505,140.946,142.633,14949340.0
GOOG,2021-09-27,142.5,140.5,141.5855,141.501,18844080.0
GOOG,2021-09-28,139.6065,135.7,139.0885,136.184,42168060.0
GOOG,2021-09-29,137.3985,134.25,137.1097,134.521,26337220.0
GOOG,2021-09-30,135.59,133.0,134.325,133.2655,35914720.0
GOOG,2021-10-01,137.071,133.3775,133.5545,136.4625,28387300.0
GOOG,2021-10-04,135.7,131.1665,135.6995,133.765,31529900.0
GOOG,2021-10-05,137.362,134.0,134.0,136.177,24126740.0
GOOG,2021-10-06,137.852,134.4865,134.6255,137.354,19764320.0
GOOG,2021-10-07,140.1545,138.563,138.863,139.1855,18250460.0
GOOG,2021-10-08,140.317,139.4293,139.906,140.056,19202000.0
GOOG,2021-10-11,140.7636,138.8065,139.8,138.8475,16584760.0
